,SUBTRANSECTO,CONTEO,N_INVESTIGATOR,ALTITUD,DEG,CHIL,RH_C,HI,DP,BULB,BARO,ALT,SPD,TC,TS,LHC,LONG_COLA,LONG_TOTAL,PESO,TEMP_ASF,TEMP_SUELO,CARROS_TUX,CARROS_OAX,TOTAL_CARROS,AÑO,SEMANA,DIA,DIAYEAR,TRANSECTO,RECORRIDO,VIVO,MUERTO,CAÑADA,ESCURRIMIENTOS,MES,TURNO,DIAWEEK,CLASE,GENERO,ESPECIE,DIRECCION,UBICACION_T,CONDICION,TEMPORADA,ALTITUD_MEAN,DIST_ELECTRICOS_MEAN,DIST_PENDIENTE_MEAN,DIST_RIOS_MEAN,DIST_AGRICOLA_MEAN,DIST_URBANIZACION_MEAN,NDWI_AGUA_MEAN,NDMI_HUMEDAD_MEAN,NDVI_VEGETACION_MEAN,LST_TEMPERATURA_MEAN
11,11,10,2,1757.910852,15.82,15.62,94.16,16.12,14.83,15.13,24.646,1447.32,0.3,16.25,15.46666667,14.17,3.995,22.035,7.433333333,15.8,15.3,24.1,31.1,55.2,2021,51,18,353,3,16,0,1,1,0,octubre,noche,viernes,Amphibia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,1753.666667,582.393514,36.64166514,810.2212626,541.9041002,2462.366279,-0.303929242,0.195959588,0.301497811,12.87949218
12,12,11,2,1769.722656,17.41,17.22,90.32,17.29,15.83,16.03636364,24.557,1637.7,0.61,13.5,16.71,17.23333333,5.552,24.366,9.12,16.98,16.5,14.63636364,18.72727273,34.27272727,2021,44,29,302,3,72,0,1,1,0,octubre,noche,miércoles,Reptilia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,1756,621.556644,31.61064561,909.3381348,694.061849,2633.33648,-0.353542591,0.223146825,0.364735153,13.71400215
13,13,4,2,1902.04834,16.1,16,91.55,16.425,14.925,15.65,24.07,1797.75,0.75,17.2327381,17.56666667,21.02,8.22,35.955,9,16.525,16,13.25,14.5,33.66666667,2021,11,12,71,4,25,0,1,0,0,agosto,noche,lunes,Reptilia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,1974.277778,1308.344652,35.77856509,754.4997525,2036.400784,3951.542033,-0.314280624,0.208336673,0.31792609,12.68281402
14,14,5,2,1835.010156,15.42,15.16,90.42,15.4,13.28,14.12,24.086,1793.2,0.38,18.3,16.8,7.673333333,2.27,12.47,17.15,17.95,15.23333333,19.8,16.6,36.6,2021,10,8,67,4,21,1,0,1,1,marzo,noche,domingo,Reptilia,Geophis,Geophis duellmani,Orilla de carretera,Abajo,VIVO,LLUVIAS,1991.611111,1474.404066,42.31295035,723.8409797,2259.591485,4206.327365,-0.322214635,0.203701692,0.32265672,12.68369758
15,15,6,2,1960.794617,14.75,14.48333333,94.85,14.8,13.83333333,14.11666667,24,1823.333333,0.283333333,14.6,14.16,18.488,9.65,50.1,9,13.95,13.8,20.33333333,22.66666667,44.5,2020,51,18,353,4,9,0,1,0,0,diciembre,noche,viernes,Amphibia,Exerodonta,Exerodonta abdivita,De arriba hacia abajo,Abajo,MUERTO,SEQUIA,1978.055556,1621.358751,31.39619785,593.0244446,2498.929674,4447.867133,-0.330133448,0.190906592,0.329815709,12.94791346
16,16,4,2,1995.784455,16,16.025,86.4,16.5,13.85,14.65,23.9725,1831.25,0.275,17.2327381,14.625,29.42,6.595,36.065,16,14.625,13.9,19.5,25.5,45,2021,11,12,71,4,25,0,1,0,0,marzo,mañana,jueves,Reptilia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,MUERTO,SEQUIA,2003.666667,1645.014798,25.98730416,414.5299818,2618.416504,4607.051324,-0.308492848,0.178275527,0.305715009,12.9533637
17,17,6,2,1992.684896,15.65,15.61666667,89.16666667,15.83333333,14.26666667,14.71666667,23.82,1883.5,0.116666667,17.2327381,15.36666667,16.295,6.16,34.49,15,15.36666667,14.63333333,14.16666667,17.33333333,31.5,2021,11,15,74,5,27,0,1,0,0,marzo,mañana,lunes,Amphibia,Geophis,Geophis duellmani,De arriba hacia abajo,Abajo,MUERTO,SEQUIA,1981.5,1508.348558,24.1897529,275.2183431,2780.073907,4936.743598,-0.34376703,0.228681797,0.352256684,13.37331911
18,18,3,2,2009.71936,12.63333333,12.7,93.56666667,12.63333333,11.36666667,11.76666667,23.81333333,1885.666667,0.1,13.06666667,12.8,16.12,6.2,35.48,9.2,13.1,12.7,12,19,31,2021,10,10,69,5,19,1,0,0,0,marzo,noche,sábado,Reptilia,Geophis,Geophis duellmani,Orilla de carretera,Abajo,VIVO,SEQUIA,1991.055556,1258.323893,24.2789598,378.4713626,2638.538954,4828.026286,-0.2692757,0.201933743,0.26283438,12.77464787
19,19,3,2,1963.922892,15.53333333,15.16666667,93.76666667,15.8,14.2,14.43333333,23.80333333,1887.666667,0.433333333,17.2327381,15.7,3.73,5.611751323,26.38442905,8.922604167,15.96666667,15.43333333,10.66666667,19.33333333,26.66666667,2021,21,16,145,5,43,0,1,0,0,mayo,mañana,lunes,Amphibia,Geophis,Geophis duellmani,De abajo hacia arriba,Arriba,MUERTO,TRANSICION DE SECAS A LLUVIA,1998.333333,1007.961219,28.78190305,593.5021566,2530.440213,4773.873291,-0.248730406,0.178502536,0.235304326,12.44518292
20,20,4,2,1990.991638,16.775,16.8,86.725,16.425,14.4,15.05,23.7675,1902.25,0.375,17.2327381,15.9,3.783333333,5.611751323,26.38442905,8.922604167,15.025,14.9,8,11.75,19.75,2021,33,16,228,5,50,0,1,0,0,agosto,noche,lunes,Amphibia,Craugastor,Craugastor sp.,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,2028.222222,1005.831557,34.93871223,663.4678209,2723.929036,4986.342339,-0.249259222,0.158911894,0.240698974,12.16086646
21,0,9,2,1818.003398,16.43333333,16.46666667,39.365,17.38333333,14.56666667,15.77142857,24.14333333,1776,0.285714286,14.275,15.525,16.0225,6.175,33.05,13.025,15.7,14.53333333,6.5,13,37.75,2021,33,24,298,0,3,1,0,0,0,agosto,noche,sábado,Reptilia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,VIVO,LLUVIAS,1810.983333,669.7250087,31.05403965,719.4012037,1109.920758,2483.382868,-0.319178657,0.20790482,0.32202465,13.76009808
